order_id,order_status,order_purchase_timestamp,order_approved_timestamp,order_delivered_carrier_timestamp,order_estimated_delivery_date,order_delivered_customer_timestamp,customer_id
48af2fb9-b563-4820-9949-3b196eee9e71,delivered,2022-12-10 07:59:35.341336,2022-12-10 10:26:04.341336,2022-12-11 15:27:23.341336,2022-12-24,2022-12-14 01:30:02.341336,64
baea1f94-a206-418d-a906-50af5e5cfc82,delivered,2023-10-24 14:45:11.669920,2023-10-26 04:31:06.669920,2023-10-27 10:34:43.669920,2023-11-01,2023-10-31 14:39:21.669920,99
6d57f861-0686-41dd-80bb-b2e8f7eb7773,delivered,2022-01-31 16:05:11.644723,2022-02-01 10:23:22.644723,2022-02-03 02:38:01.644723,2022-02-10,2022-02-06 10:55:25.644723,37
45b9e16a-dd3b-4e4d-a356-feb18703eef9,delivered,2023-06-26 19:52:03.636620,2023-06-28 07:45:06.636620,2023-06-28 22:45:26.636620,2023-07-09,2023-06-30 23:13:11.636620,31
29c8c746-47fb-415c-8ffe-3a1748b5f3b8,delivered,2023-07-02 20:17:25.222657,2023-07-04 13:32:04.222657,2023-07-05 15:21:50.222657,2023-07-16,2023-07-08 12:04:54.222657,52
4618d2d6-16ad-4cbe-8130-536d5bcb9c77,delivered,2023-01-20 01:36:48.093900,2023-01-22 18:32:26.093900,2023-01-23 07:41:51.093900,2023-01-28,2023-01-25 20:12:47.093900,99
77c64b98-4db4-4531-be4c-aad625ff9b75,delivered,2022-09-19 22:45:44.623736,2022-09-20 20:19:30.623736,2022-09-21 19:18:54.623736,2022-09-28,2022-09-24 19:49:32.623736,55
73f850bb-e693-42c3-8116-2bba4ad9f411,delivered,2022-07-18 20:54:59.979101,2022-07-21 17:29:19.979101,2022-07-22 05:10:00.979101,2022-07-31,2022-07-23 05:40:09.979101,98
c38134de-8d10-437c-81aa-62ec5b3902f6,delivered,2022-03-22 22:37:01.861674,2022-03-23 05:22:11.861674,2022-03-23 18:13:15.861674,2022-04-03,2022-03-26 21:47:16.861674,74
2387c36a-51f0-48c6-90e0-8e318418cf67,delivered,2023-12-16 03:13:34.227077,2023-12-16 23:42:05.227077,2023-12-17 13:22:01.227077,2023-12-24,2023-12-20 12:36:03.227077,37
f266d4d8-0898-4f0c-8d67-efdc0fa1616e,delivered,2022-05-11 13:37:39.392158,2022-05-11 16:56:00.392158,2022-05-12 19:04:22.392158,2022-05-21,2022-05-17 12:16:16.392158,54
220f8b9e-b01f-4ae6-8096-a8533cd971db,delivered,2023-04-29 20:40:49.588218,2023-05-01 23:09:54.588218,2023-05-03 23:05:47.588218,2023-05-11,2023-05-06 13:53:16.588218,8
2f2ba5c5-125c-4677-a147-a5b3a0c436ad,delivered,2023-10-11 03:23:44.200774,2023-10-14 02:32:08.200774,2023-10-15 18:43:55.200774,2023-10-23,2023-10-17 00:02:42.200774,13
85b1fc5d-7694-47d9-9536-f7eb622a526c,out_of_stock,2023-02-03 05:41:06.864824,2023-02-05 21:15:06.864824,,2023-02-14,,13
f770d0f5-72a1-4dca-940c-c77b05ed7c13,delivered,2022-06-16 21:47:14.131024,2022-06-17 11:16:42.131024,2022-06-18 17:04:56.131024,2022-06-29,2022-06-22 02:17:30.131024,7
8ba6dce2-436a-47cd-8ec1-b4f31acd05d9,delivered,2022-01-22 21:51:02.401681,2022-01-25 02:23:28.401681,2022-01-26 19:39:38.401681,2022-01-31,2022-01-30 08:51:12.401681,9
12c44860-dd19-4add-9c14-802fa52e01ec,delivered,2022-08-05 08:25:04.596117,2022-08-07 00:26:22.596117,2022-08-08 22:26:56.596117,2022-08-18,2022-08-13 10:04:20.596117,5
e654ea81-4d22-4a2a-98cb-ac10fd31d69e,shipped,2023-03-24 21:46:34.842055,2023-03-24 22:52:55.842055,2023-03-26 03:11:13.842055,2023-04-04,,44
2b27302e-4318-4857-8865-2e7b04229757,delivered,2023-01-11 20:36:16.902387,2023-01-12 04:38:39.902387,2023-01-13 09:05:20.902387,2023-01-24,2023-01-17 18:21:19.902387,70
5db3bf1a-0dbe-4f8a-af13-b5c8c40abd61,shipped,2023-01-16 13:37:52.028260,2023-01-18 16:27:04.028260,2023-01-19 22:02:55.028260,2023-01-25,,36
8fdbdbec-7d8d-4a88-9796-d61cfe41d664,delivered,2023-09-24 04:38:44.231336,2023-09-24 12:01:57.231336,2023-09-25 10:14:06.231336,2023-10-02,2023-09-29 19:20:36.231336,23
bde78948-e665-464c-b33f-bd35a47e81b1,processing,2022-06-26 17:15:52.951559,2022-06-28 23:07:49.951559,,2022-07-03,,45
ad55cea4-0a36-4e5b-adda-2402b9296142,delivered,2022-12-23 23:19:03.103142,2022-12-26 06:53:03.103142,2022-12-27 05:07:54.103142,2023-01-03,2022-12-31 03:32:19.103142,56
ece98e56-4160-4be9-9045-e58f4d2d8e77,delivered,2022-03-16 04:54:54.782159,2022-03-18 03:02:30.782159,2022-03-18 13:50:40.782159,2022-03-24,2022-03-22 06:00:50.782159,42
48eff79e-89dd-4cc8-908d-e725af5df1a7,delivered,2023-12-29 19:56:13.797177,2023-12-29 21:43:08.797177,2023-12-31 11:56:38.797177,2024-01-09,2024-01-04 23:41:11.797177,16
086d4cb9-561d-4d0e-bfb4-baa02205bfb1,delivered,2023-02-23 05:59:49.095998,2023-02-25 18:55:58.095998,2023-02-26 14:47:08.095998,2023-03-05,2023-03-01 09:23:34.095998,80
33a634b6-7b2a-4ad0-8a05-04918dd7c738,shipped,2023-07-07 18:11:44.774662,2023-07-08 04:18:48.774662,2023-07-09 06:40:48.774662,2023-07-16,,59
7988195a-b0e2-42a7-940b-68b59a442759,delivered,2022-06-24 20:06:14.391421,2022-06-25 05:14:40.391421,2022-06-26 01:07:52.391421,2022-07-02,2022-06-30 20:19:34.391421,14
4b54b7f6-2250-45e4-b7b5-df680bd60d12,shipped,2022-04-05 09:08:24.715812,2022-04-07 16:21:51.715812,2022-04-08 23:27:44.715812,2022-04-15,,95
48279286-6008-49f8-a839-3209c3440ec1,delivered,2023-12-24 14:25:17.262677,2023-12-24 19:27:11.262677,2023-12-25 04:14:52.262677,2023-12-31,2023-12-27 22:48:06.262677,79
33d36aae-957e-438e-9bd5-cc92616e43c3,delivered,2022-09-03 05:46:49.992410,2022-09-03 19:21:24.992410,2022-09-05 09:00:39.992410,2022-09-10,2022-09-08 14:42:57.992410,25
76ce936d-2bf7-4573-9031-4df46a7a02af,delivered,2022-12-30 15:40:09.808835,2022-12-31 23:34:15.808835,2023-01-02 04:30:42.808835,2023-01-12,2023-01-06 16:44:44.808835,43
52f27073-01b0-4d1a-9d44-b6a9291877c4,delivered,2022-09-19 11:59:51.459984,2022-09-21 11:22:25.459984,2022-09-22 13:34:48.459984,2022-09-28,2022-09-25 19:28:10.459984,100
c722638a-3d2a-42d6-bc2e-3033cd38e13a,delivered,2023-06-25 03:25:11.675247,2023-06-27 18:47:04.675247,2023-06-28 06:53:51.675247,2023-07-03,2023-07-01 11:21:39.675247,24
175ae188-f8c5-4f00-b9fa-d2527b010693,delivered,2023-05-24 13:55:31.269685,2023-05-25 14:38:57.269685,2023-05-27 03:36:53.269685,2023-06-07,2023-05-30 04:23:48.269685,70
12ebeb49-a74e-4251-9f6a-9c98aa8f028f,delivered,2023-01-25 13:29:10.723357,2023-01-25 13:31:23.723357,2023-01-27 08:49:00.723357,2023-02-06,2023-01-29 04:44:54.723357,87
7c02a0cb-2d94-4874-94b2-2eba58b97d27,delivered,2023-08-29 12:51:51.661222,2023-08-31 23:15:04.661222,2023-09-02 14:23:53.661222,2023-09-05,2023-09-06 11:19:41.661222,36
f2f5df46-567c-4c8f-a04e-7d3bf29203b1,out_of_stock,2022-02-09 20:03:29.476347,2022-02-09 21:22:25.476347,,2022-02-23,,65
3fa4f939-6571-4ec2-a521-1984a740e26e,delivered,2022-02-26 10:44:31.227272,2022-03-01 07:37:49.227272,2022-03-02 18:22:43.227272,2022-03-08,2022-03-07 09:27:15.227272,77
466d0e1b-87ba-4868-bca9-4452c93ef5a3,delivered,2023-06-10 15:31:01.304608,2023-06-11 11:35:18.304608,2023-06-12 21:39:54.304608,2023-06-21,2023-06-16 20:38:41.304608,57
de1045b0-02c7-40bc-a8f3-1be9d1cdd2fa,delivered,2022-07-15 18:44:58.490192,2022-07-16 18:33:22.490192,2022-07-18 14:21:20.490192,2022-07-23,2022-07-20 22:51:12.490192,10
87736d8a-bce2-4dc2-a434-c62403633f36,shipped,2023-07-15 07:10:01.293325,2023-07-17 10:42:12.293325,2023-07-18 08:00:09.293325,2023-07-28,,42
